"exposure","tri_out","term","est_ci_head_circumference","N_head_circumference","p_value_head_circumference","est_ci_abdominal_circumference","N_abdominal_circumference","p_value_abdominal_circumference","est_ci_biparietal_diameter","N_biparietal_diameter","p_value_biparietal_diameter","est_ci_femur_length","N_femur_length","p_value_femur_length","est_ci_birth_weight","N_birth_weight","p_value_birth_weight","est_ci_birth_length","N_birth_length","p_value_birth_length"
"Butylparaben","US3","exp_val>LOQ"," 0.04 (-0.43;  0.52)",16,"1"," 0.21 (-0.29;  0.70)",16,"0.3"," 0.11 (-0.37;  0.58)",16,"0.8","-0.16 (-0.62;  0.30)",16,"0.7",NA,NA,NA,NA,NA,NA
"Butylparaben","US3","exp_valLOD-LOQ"," 0.02 (-0.31;  0.34)",44,"1","-0.20 (-0.54;  0.13)",45,"0.3","-0.07 (-0.39;  0.25)",45,"0.8","-0.10 (-0.41;  0.21)",45,"0.7",NA,NA,NA,NA,NA,NA
"Butylparaben","birth","exp_val>LOQ","-0.52 (-0.89; -0.15)",24,"F = 3.9 (p-value = 0.02)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.02 (-0.38;  0.33)",24,"0.2"," 0.16 (-0.19;  0.51)",24,"0.5"
"Butylparaben","birth","exp_valLOD-LOQ","-0.06 (-0.32;  0.21)",56,"F = 3.9 (p-value = 0.02)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.25 (-0.51;  0.01)",56,"0.2","-0.07 (-0.33;  0.18)",56,"0.5"
"Ethylparaben","US2","exp_val","-0.02 (-0.06; 0.03)",430,"0.5"," 0.00 (-0.05; 0.05)",430,"1"," 0.00 (-0.05; 0.06)",432,"0.9","-0.02 (-0.07; 0.03)",432,"0.4",NA,NA,NA,NA,NA,NA
"Ethylparaben","US3","exp_val","-0.02 (-0.12; 0.08)",171,"0.7"," 0.06 (-0.05; 0.16)",173,"0.3"," 0.00 (-0.09; 0.10)",173,"0.9","-0.02 (-0.11; 0.08)",173,"0.8",NA,NA,NA,NA,NA,NA
"Ethylparaben","birth","exp_val","-0.06 (-0.14; 0.03)",209,"0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00 (-0.08; 0.08)",212,"1"," 0.02 (-0.05; 0.10)",210,"0.5"
"Methylparaben","US2","exp_val"," 0.00 (-0.05; 0.05)",430,"1"," 0.02 (-0.03; 0.08)",430,"0.4"," 0.01 (-0.04; 0.07)",432,"0.6"," 0.00 (-0.05; 0.05)",432,"0.9",NA,NA,NA,NA,NA,NA
"Methylparaben","US3","exp_val"," 0.04 (-0.06; 0.14)",171,"0.4"," 0.08 (-0.02; 0.19)",173,"0.1"," 0.04 (-0.06; 0.14)",173,"0.4"," 0.00 (-0.10; 0.10)",173,"1",NA,NA,NA,NA,NA,NA
"Methylparaben","birth","exp_val","-0.03 (-0.11; 0.06)",209,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.06 (-0.02; 0.14)",212,"0.1"," 0.02 (-0.06; 0.10)",210,"0.7"
"Propylparaben","US2","exp_val","-0.01 (-0.03; 0.02)",430,"0.5","-0.01 (-0.04; 0.01)",430,"0.3","-0.01 (-0.03; 0.02)",432,"0.6"," 0.00 (-0.03; 0.02)",432,"0.7",NA,NA,NA,NA,NA,NA
"Propylparaben","US3","exp_val"," 0.00 (-0.06; 0.06)",171,"1"," 0.04 (-0.02; 0.10)",173,"0.2"," 0.01 (-0.05; 0.06)",173,"0.9","-0.01 (-0.07; 0.04)",173,"0.6",NA,NA,NA,NA,NA,NA
"Propylparaben","birth","exp_val","-0.01 (-0.06; 0.03)",209,"0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.02 (-0.03; 0.07)",212,"0.4"," 0.01 (-0.03; 0.06)",210,"0.6"
