"child_sex","exposure","tri_out","term","est_ci_head_circumference","N_head_circumference","p_value_head_circumference","p_value_int_head_circumference","est_ci_abdominal_circumference","N_abdominal_circumference","p_value_abdominal_circumference","p_value_int_abdominal_circumference","est_ci_biparietal_diameter","N_biparietal_diameter","p_value_biparietal_diameter","p_value_int_biparietal_diameter","est_ci_femur_length","N_femur_length","p_value_femur_length","p_value_int_femur_length","est_ci_birth_weight","N_birth_weight","p_value_birth_weight","p_value_int_birth_weight","est_ci_birth_length","N_birth_length","p_value_birth_length","p_value_int_birth_length"
"Male","Ethylparaben","birth","continuous"," 0.01 (-0.08; 0.09)",250,"0.9","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.06 (-0.02; 0.15)",255,"0.1","0.05"," 0.01 (-0.07; 0.09)",253,"0.8","0.9"
"Female","Methylparaben","US2","continuous","-0.02 (-0.09; 0.06)",198,"0.7","0.4","-0.01 (-0.10; 0.07)",199,"0.8","0.2","-0.01 (-0.09; 0.07)",200,"0.8","0.3"," 0.00 (-0.08; 0.08)",200,"1","0.9",NA,NA,NA,NA,NA,NA,NA,NA
"Male","Methylparaben","US2","continuous"," 0.02 (-0.05; 0.08)",235,"0.6","0.4"," 0.05 (-0.01; 0.12)",234,"0.1","0.2"," 0.04 (-0.03; 0.12)",235,"0.2","0.3"," 0.01 (-0.06; 0.07)",235,"0.8","0.9",NA,NA,NA,NA,NA,NA,NA,NA
"Female","Methylparaben","US3","continuous"," 0.06 (-0.02; 0.14)",195,"0.2","0.4"," 0.03 (-0.05; 0.12)",196,"0.4","0.7"," 0.06 (-0.03; 0.15)",197,"0.2","0.6"," 0.03 (-0.05; 0.11)",197,"0.5","0.7",NA,NA,NA,NA,NA,NA,NA,NA
"Male","Methylparaben","US3","continuous"," 0.02 (-0.05; 0.10)",239,"0.5","0.4"," 0.07 (-0.01; 0.15)",240,"0.08","0.7"," 0.04 (-0.04; 0.12)",240,"0.3","0.6"," 0.06 (-0.02; 0.14)",240,"0.1","0.7",NA,NA,NA,NA,NA,NA,NA,NA
"Female","Methylparaben","birth","continuous"," 0.01 (-0.07; 0.09)",216,"0.8","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.04 (-0.03; 0.11)",220,"0.3","1"," 0.02 (-0.05; 0.09)",217,"0.6","0.9"
"Male","Methylparaben","birth","continuous"," 0.02 (-0.06; 0.09)",250,"0.7","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.04 (-0.03; 0.11)",255,"0.3","1"," 0.01 (-0.05; 0.08)",253,"0.7","0.9"
"Female","Propylparaben","US2","continuous","-0.01 (-0.05; 0.03)",198,"0.5","0.8","-0.03 (-0.07; 0.01)",199,"0.2","0.3"," 0.00 (-0.04; 0.04)",200,"0.9","1"," 0.01 (-0.03; 0.04)",200,"0.8","0.4",NA,NA,NA,NA,NA,NA,NA,NA
"Male","Propylparaben","US2","continuous","-0.01 (-0.04; 0.03)",235,"0.6","0.8"," 0.00 (-0.03; 0.04)",234,"0.9","0.3","-0.01 (-0.05; 0.03)",235,"0.7","1","-0.02 (-0.05; 0.02)",235,"0.4","0.4",NA,NA,NA,NA,NA,NA,NA,NA
"Female","Propylparaben","US3","continuous"," 0.00 (-0.05; 0.05)",195,"1","0.6","-0.02 (-0.07; 0.03)",196,"0.4","0.6","-0.01 (-0.06; 0.05)",197,"0.8","0.9"," 0.00 (-0.05; 0.05)",197,"1","0.7",NA,NA,NA,NA,NA,NA,NA,NA
"Male","Propylparaben","US3","continuous"," 0.00 (-0.05; 0.04)",239,"0.9","0.6"," 0.02 (-0.03; 0.06)",240,"0.5","0.6"," 0.00 (-0.05; 0.05)",240,"1","0.9"," 0.00 (-0.04; 0.04)",240,"1","0.7",NA,NA,NA,NA,NA,NA,NA,NA
"Female","Propylparaben","birth","continuous"," 0.01 (-0.04; 0.05)",216,"0.8","0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.01 (-0.05; 0.03)",220,"0.8","0.5"," 0.00 (-0.04; 0.05)",217,"0.9","0.5"
"Male","Propylparaben","birth","continuous"," 0.00 (-0.05; 0.04)",250,"0.8","0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.02 (-0.06; 0.02)",255,"0.3","0.5","-0.01 (-0.05; 0.03)",253,"0.7","0.5"
